1001
10.13847 54.32255 0 0 0 Holstenstr. 12, 24103 Kiel
10.06509 54.26643 76 13 13 Catharinenberg 13, 24113 Molfsee
10.07589 54.27514 82 11 11 Hamburger Landstr. 96, 24113 Molfsee
10.12536 54.30972 75 3 3 Königsweg 88, 24114 Kiel
10.14484 54.28341 77 9 9 Hopfenlandsberg 50, 24145 Kiel
10.15928 54.31285 78 6 6 Ernestinenstr. 34, 24143 Kiel
10.19146 54.29165 70 10 10 Troppauer Str. 39, 24146 Kiel
10.12572 54.39935 84 14 14 Am Buchholz 1, 24161 Altenholz
10.2067 54.32416 80 13 13 Landweg 6, 24149 Kiel
10.12376 54.40083 79 15 15 Linden-Allee 84, 24161 Altenholz
10.19591 54.29378 71 11 11 Starnberger Str. 24, 24146 Kiel
10.1337 54.33946 74 3 3 Holtenauer Str. 154, 24105 Kiel
10.16947 54.32126 75 8 8 Wellingdorfer Str. 4, 24148 Kiel
10.07917 54.36451 75 12 12 Hiddenseer Weg 17, 24107 Kiel
10.14386 54.30734 68 4 4 Kaiserstr. 97, 24143 Kiel
10.19241 54.32566 74 10 10 Passader Str. 3, 24148 Kiel
10.16268 54.38973 76 15 15 Fontanestr. 1, 24159 Kiel
10.13312 54.28894 71 5 5 Barkauer Str. 2, 24145 Kiel
10.0735 54.29475 71 11 11 Damaschkeweg 50, 24113 Kiel
10.08298 54.35186 70 9 9 Alter Viedamm 49, 24107 Kiel
10.13752 54.31444 82 5 5 Am Germaniahafen 5, 24143 Kiel
10.10188 54.3108 75 7 7 Ottweilerstr. 3, 24114 Kiel
10.14222 54.32187 82 0 0 Wall 48, 24103 Kiel
10.11854 54.40481 68 16 16 Moorredder 19, 24161 Altenholz
10.04416 54.31329 83 11 11 Ripener Weg 1, 24109 Kiel
10.07548 54.27651 73 12 12 Rammsmoor 27, 24113 Molfsee
10.08956 54.31974 79 7 7 Hofholzallee 20, 24109 Kiel
10.18075 54.29808 83 9 9 Innsbrucker Allee 2, 24147 Kiel
10.10396 54.30996 82 6 6 Mettlachstr. 4, 24114 Kiel
10.09066 54.32872 77 6 6 Auf der Tenne 1, 24119 Kronshagen
10.11844 54.35947 78 10 10 Langenrade 16, 24106 Kiel
10.07128 54.26776 76 12 12 Stuthagen 23, 24113 Molfsee
10.19846 54.29356 76 11 11 Heimstättenstr. 12, 24146 Kiel
10.13369 54.32015 76 1 1 Schevenbrücke 7, 24103 Kiel
10.13042 54.31791 78 1 1 Hopfenstr. 60, 24103 Kiel
10.07155 54.30307 79 10 10 Redderkamp 20, 24111 Kiel
10.07772 54.2765 68 11 11 Hamburger Landstr. 82, 24113 Molfsee
10.0259 54.32538 68 12 12 Kählenweg 12, 24109 Melsdorf
10.05593 54.34134 71 11 11 Kiewittsholm 1, 24107 Ottendorf
10.0577 54.32888 67 10 10 Stockholmstr. 159, 24109 Kiel
10.06834 54.26467 69 12 12 Eiderwiesenweg 8, 24113 Molfsee
10.1742 54.42213 69 18 18 Möwenweg 5, 24159 Kiel
10.10319 54.27476 71 9 9 Meimersdorfer Weg 214, 24145 Kiel
10.12016 54.31509 82 4 4 Hasselmannstr. 12, 24114 Kiel
10.12361 54.31976 68 2 2 Adelheidstr. 4, 24103 Kiel
10.07578 54.31558 68 9 9 Hasselteich 1, 24109 Kiel
10.12908 54.36984 69 11 11 Geheimrat-Schultz-Weg 1, 24159 Kiel
10.12761 54.35647 80 7 7 Büsumer Weg 53, 24106 Kiel
10.17395 54.39717 74 17 17 Brammerkamp 1, 24159 Kiel
10.10861 54.29849 71 7 7 Heckenrosenweg 11, 24113 Kiel
10.11789 54.32191 68 2 2 Hasseldieksdammer Weg 15, 24116 Kiel
10.17016 54.39387 68 17 17 Prieser Höhe 1, 24159 Kiel
10.13122 54.28144 73 8 8 Justdiek 4, 24145 Kiel
10.12176 54.33555 70 4 4 Groß-Kielstein 47, 24118 Kiel
10.12963 54.36278 80 8 8 Timmerberg 13, 24106 Kiel
10.09452 54.34772 71 7 7 Eckernförder Str. 333, 24107 Kronshagen
10.12338 54.3071 78 3 3 Hamburger Chaussee 25, 24114 Kiel
10.12761 54.35647 80 7 7 Büsumer Weg 53, 24106 Kiel
10.05731 54.34158 76 11 11 Auberg 17, 24107 Ottendorf
10.1674 54.28786 71 9 9 Schoolkamp 1, 24145 Kiel
10.04538 54.3172 83 10 10 Esbjergweg 1, 24109 Kiel
10.13639 54.32885 71 2 2 Brunswiker Str. 46, 24105 Kiel
10.12203 54.40433 68 16 16 Klausdorfer Str. 103, 24161 Altenholz
10.14279 54.30282 70 5 5 Lensahner Str. 11, 24143 Kiel
10.09917 54.3418 68 6 6 Aubrücke 1, 24119 Kronshagen
10.1742 54.31509 79 8 8 Peter-Hansen-Str. 119, 24148 Kiel
10.16233 54.31503 82 7 7 Große Ziegelstr. 12, 24148 Kiel
10.12409 54.31752 82 2 2 Kirchhofallee 34, 24103 Kiel
10.13454 54.376 79 11 11 Hirthstr. 3, 24159 Kiel
10.14399 54.31349 73 5 5 Johannesstr. 10, 24143 Kiel
10.04985 54.32715 73 11 11 Helsinkistr. 25, 24109 Kiel
10.10194 54.30353 75 6 6 Rendsburger Landstr. 122, 24113 Kiel
10.08445 54.33603 84 8 8 Vespergang 2, 24119 Kronshagen
10.1749 54.31425 71 8 8 Schwanenseeplatz 7, 24148 Kiel
10.137 54.38853 68 12 12 Allensteiner Weg 49, 24161 Altenholz
10.0819 54.36245 80 11 11 Wippen 13, 24107 Kiel
10.17048 54.42233 70 18 18 Seestr. 7, 24159 Kiel
9.99284 54.34124 67 17 17 Mönkbergseck 16, 24107 Quarnbek
10.14497 54.28511 68 8 8 Schlüsbeker Weg 1, 24145 Kiel
10.13347 54.3045 83 5 5 Oldesloer Str. 1, 24143 Kiel
10.05229 54.32952 69 12 12 Helsinkistr. 114, 24109 Kiel
10.10509 54.3111 82 6 6 Dudweilerstr. 3, 24114 Kiel
10.11819 54.30476 76 4 4 Von-der-Goltz-Allee 2, 24113 Kiel
10.15031 54.33867 78 4 4 Niemannsweg 99, 24105 Kiel
10.10882 54.32808 76 4 4 Sedanstr. 14, 24116 Kiel
10.12938 54.33421 77 3 3 Knooper Weg 140, 24118 Kiel
10.09525 54.30069 70 7 7 Haßberg 5, 24113 Kiel
10.16945 54.30977 74 9 9 Poppenrade 10, 24148 Kiel
10.02868 54.31469 79 10 10 Am Dörpsdiek 63, 24109 Melsdorf
10.13396 54.3837 74 12 12 Stralsunder Weg 1, 24161 Altenholz
10.12699 54.35717 68 8 8 Flensburger Str. 12, 24106 Kiel
10.13084 54.34318 73 4 4 Fichtestr. 10, 24118 Kiel
10.03958 54.32962 76 12 12 Hochrott 2, 24107 Quarnbek
10.08266 54.33461 67 8 8 Sandkoppel 20, 24119 Kronshagen
10.13131 54.32272 68 1 1 Rathausstr. 1, 24103 Kiel
10.13559 54.33862 82 3 3 Gerhardstr. 82, 24105 Kiel
10.19101 54.2921 67 10 10 Troppauer Str. 40, 24146 Kiel
10.0727 54.36434 68 11 11 Fehmarnwinkel 23, 24107 Kiel
10.18222 54.28615 80 11 11 Am Wellsee 6, 24146 Kiel
10.15706 54.338 73 4 4 Kiellinie 100, 24105 Kiel
10.08146 54.33672 70 9 9 Holländerey 17, 24119 Kronshagen
10.0774 54.30165 71 9 9 Rutkamp 2, 24111 Kiel
10.1652 54.29244 68 9 9 Buschkoppel 39, 24145 Kiel
10.14006 54.33543 68 3 3 Feldstr. 38, 24105 Kiel
10.07909 54.35755 83 10 10 Amrumring 8, 24107 Kiel
10.1701 54.32157 77 9 9 Wellingdorfer Str. 2, 24148 Kiel
10.13464 54.38704 69 12 12 Insterburger Weg 3, 24161 Altenholz
10.14572 54.37056 68 13 13 Lindenweg 2, 24159 Kiel
10.135 54.41221 69 16 16 Teichkoppel 66, 24161 Altenholz
10.11453 54.32454 67 3 3 Kronshagener Weg 40, 24116 Kiel
10.19582 54.33818 68 13 13 Pillauer Str. 10, 24149 Kiel
10.03403 54.31654 78 10 10 Rothenberg 2, 24109 Melsdorf
10.14207 54.30482 79 5 5 Hofstr. 34, 24143 Kiel
10.19972 54.32235 77 11 11 Wehdenweg 105, 24148 Kiel
10.12288 54.39647 69 14 14 Klintenberg 44, 24161 Altenholz
10.05681 54.34084 68 11 11 Auberg 3, 24107 Ottendorf
10.13392 54.27983 79 8 8 Radewisch 101, 24145 Kiel
10.18124 54.32554 75 10 10 Schönberger Str. 52, 24148 Kiel
10.11374 54.2938 78 7 7 Krummbogen 96, 24113 Kiel
10.08979 54.32728 75 6 6 Volbehrstr. 23, 24119 Kronshagen
10.19881 54.32292 76 11 11 Wehdenweg 83, 24148 Kiel
10.14191 54.37342 76 12 12 Hünefeldstr. 1, 24159 Kiel
10.09764 54.34034 69 6 6 Siedlerkamp 1, 24119 Kronshagen
10.18379 54.29422 73 9 9 Bebelplatz 1, 24146 Kiel
10.1634 54.31059 71 9 9 Röhbarg 1, 24148 Kiel
10.07171 54.36411 67 12 12 Alte Chaussee 22, 24107 Kiel
10.02421 54.31545 83 10 10 Dorfstr. 64, 24109 Melsdorf
10.04739 54.25897 83 15 15 Streitberg 17, 24113 Molfsee
10.12537 54.40341 70 16 16 Eichenweg 13, 24161 Altenholz
10.19241 54.32566 70 10 10 Passader Str. 3, 24148 Kiel
10.06765 54.27686 79 12 12 Osterberg 12, 24113 Molfsee
10.11014 54.30138 69 6 6 Fröbelstr. 50, 24113 Kiel
10.16927 54.4009 70 16 16 Grüffkamp 2, 24159 Kiel
10.0609 54.26294 79 13 13 Schulstr. 7, 24113 Molfsee
10.00587 54.35098 79 18 18 Rajensdorfer Weg 24, 24107 Quarnbek
10.12245 54.40459 82 16 16 An der Feuerwache 1, 24161 Altenholz
10.15394 54.39671 82 16 16 Wagnerring 32, 24159 Kiel
10.17489 54.41812 75 18 18 Funkstellenweg 36, 24159 Kiel
10.12383 54.39598 78 14 14 Klintenberg 20, 24161 Altenholz
10.17981 54.3254 83 10 10 Schönberger Str. 68, 24148 Kiel
10.13859 54.30232 75 7 7 Theodor-Heuss-Ring 118, 24143 Kiel
10.08919 54.31208 69 8 8 Kolonnenweg 2, 24113 Kiel
10.0579 54.30225 71 10 10 Rendsburger Landstr. 442, 24111 Kiel
10.13284 54.31772 79 1 1 Sophienblatt 1, 24103 Kiel
10.17385 54.3224 74 10 10 Erlenkamp 10, 24148 Kiel
10.08733 54.33711 74 7 7 Kopperpahler Allee 50, 24119 Kronshagen
10.00615 54.3428 76 16 16 Alte Landstr. 50, 24107 Quarnbek
10.05773 54.31474 83 10 10 Königsförder Weg 2, 24109 Kiel
10.17404 54.29821 82 7 7 Villacher Str. 4, 24147 Kiel
10.10207 54.34127 67 6 6 Eckernförder Str. 212, 24119 Kronshagen
10.12548 54.35965 69 8 8 Tonderner Str. 1, 24106 Kiel
10.13783 54.33775 77 4 4 Adolfplatz 2, 24105 Kiel
10.04874 54.30094 73 9 9 Am Ihlberg 2, 24109 Melsdorf
