1501
10.13847 54.32255 0 0 0 Holstenstr. 12, 24103 Kiel
10.08696 54.29655 53 9 9 Seekoppelweg 20, 24113 Kiel
10.07955 54.28139 53 10 10 Mielkendorfer Weg 2, 24113 Molfsee
10.18254 54.30134 59 9 9 Tiroler Ring 289, 24147 Kiel
10.18286 54.41184 54 19 19 Palisadenweg 171, 24159 Kiel
10.12953 54.38448 55 13 13 Posener Str. 21, 24161 Altenholz
10.08903 54.35542 61 8 8 Schneiderkamp 17, 24107 Kiel
10.17936 54.30476 59 9 9 Radebrook 5, 24147 Kiel
10.14775 54.34713 54 6 6 Bismarckallee 23, 24105 Kiel
10.07049 54.29447 61 12 12 Damaschkeweg 52, 24113 Kiel
10.07524 54.30043 55 9 9 Rendsburger Landstr. 339, 24111 Kiel
10.06989 54.35207 55 12 12 Bauernfeld 44, 24107 Kiel
10.09669 54.3308 59 6 6 Hufenkamp 47, 24119 Kronshagen
10.02741 54.31457 56 10 10 Bahnhofstr. 2, 24109 Melsdorf
10.09105 54.35249 57 10 10 Steekberg 1, 24107 Kiel
10.13399 54.31778 55 1 1 Auguste-Viktoria-Str. 2, 24103 Kiel
10.17242 54.32018 59 8 8 Klausdorfer Weg 63, 24148 Kiel
10.10327 54.309 52 5 5 Saarbrückenstr. 154, 24113 Kiel
10.13253 54.33541 62 3 3 Waitzstr. 58, 24105 Kiel
10.18166 54.3248 59 10 10 Wischhofstr. 68, 24148 Kiel
10.18222 54.33103 57 11 11 Heikendorfer Weg 42, 24149 Kiel
10.12198 54.32431 53 3 3 Eckernförder Str. 34, 24116 Kiel
10.11669 54.40503 52 16 16 Wiesengrund 33, 24161 Altenholz
10.13711 54.34131 61 5 5 Esmarchstr. 29, 24105 Kiel
10.21098 54.32614 62 12 12 Trenntrader Weg 3, 24149 Kiel
10.03305 54.31451 59 9 9 Schmiedekoppel 9, 24109 Melsdorf
10.13749 54.37193 52 11 11 Richthofenstr. 36, 24159 Kiel
10.13289 54.35439 61 7 7 Danckwerthstr. 3, 24106 Kiel
10.10171 54.31299 53 7 7 Mühlendamm 3, 24113 Kiel
10.21593 54.32817 64 13 13 Am Mondspiegel 10, 24149 Kiel
10.12938 54.33421 60 3 3 Knooper Weg 140, 24118 Kiel
10.06039 54.31633 59 9 9 Mettenhofer Weg 6, 24109 Kiel
10.16699 54.31787 54 8 8 Franziusallee 33, 24148 Kiel
10.13697 54.35866 52 9 9 Weimarer Str. 8, 24106 Kiel
10.09491 54.34993 56 8 8 Klausbrooker Weg 7, 24107 Kiel
10.10396 54.30996 59 6 6 Mettlachstr. 4, 24114 Kiel
10.12524 54.30663 62 3 3 Alte Lübecker Chaussee 13, 24114 Kiel
10.11075 54.29523 52 8 8 Brüggerfelde 8, 24113 Kiel
10.17037 54.40266 59 15 15 Koppelberg 10, 24159 Kiel
10.14881 54.26416 62 9 9 Steindamm 134, 24145 Kiel
10.14721 54.37538 61 13 13 Eekbrook 15, 24159 Kiel
10.16726 54.31506 57 7 7 Ostring 318, 24148 Kiel
10.11571 54.31401 53 4 4 Dubenhorst 2, 24114 Kiel
10.13112 54.36282 52 8 8 Glücksburger Str. 1, 24106 Kiel
10.07015 54.26681 52 12 12 Stuthagen 14, 24113 Molfsee
