2001
10.13847 54.32255 0 0 0 Holstenstr. 12, 24103 Kiel
10.13123 54.35268 48 6 6 Schulredder 4, 24106 Kiel
10.16565 54.32119 44 8 8 Klausdorfer Weg 19, 24148 Kiel
10.13458 54.31797 41 1 1 Stresemannplatz 5, 24103 Kiel
10.07682 54.28136 41 11 11 Rammseer Berg 3, 24113 Molfsee
10.12812 54.33105 46 2 2 Lehmberg 25, 24105 Kiel
10.07282 54.33916 47 9 9 Hans-Christian-Andersen-Weg 2, 24119 Kronshagen
10.1153 54.31439 49 4 4 Dubenhorst 4, 24114 Kiel
10.09892 54.28507 47 9 9 Meimersdorfer Weg 95, 24145 Kiel
10.13609 54.38747 46 12 12 Allensteiner Weg 3, 24161 Altenholz
10.09341 54.3191 40 6 6 Hasselrade 10, 24114 Kiel
10.16645 54.28115 46 10 10 Segeberger Landstr. 201, 24145 Kiel
10.13089 54.33831 48 3 3 Bremerstr. 14, 24118 Kiel
10.16513 54.31091 45 8 8 Sören 2, 24148 Kiel
10.12324 54.30115 46 4 4 Hornheimer Weg 21, 24113 Kiel
10.16485 54.39853 43 16 16 Gustav-Falke-Str. 13, 24159 Kiel
10.12838 54.30016 47 6 6 Maybachstr. 9, 24113 Kiel
10.10006 54.30802 41 7 7 Altenrade 1, 24113 Kiel
10.17682 54.30339 44 9 9 Ellerbeker Weg 78, 24147 Kiel
10.14856 54.31449 42 6 6 Elisabethstr. 28, 24143 Kiel
10.0848 54.30256 48 9 9 Achterwehrer Str. 15, 24113 Kiel
10.16792 54.32181 44 8 8 Wahlestr. 10, 24148 Kiel
10.17845 54.26744 41 12 12 Zum Forst 75, 24145 Kiel
10.07892 54.30482 47 10 10 Rutkamp 46, 24111 Kiel
10.19678 54.28134 46 13 13 Rönner Weg 70, 24146 Kiel
10.06284 54.27374 44 13 13 Dorfstr. 35, 24113 Molfsee
10.12547 54.28308 45 8 8 Grönhorst 1, 24145 Kiel
10.00481 54.35133 47 18 18 Uhlenkamp 2, 24107 Quarnbek
10.19773 54.27731 40 14 14 Rohrsängerweg 30, 24146 Kiel
10.20744 54.32307 40 13 13 Spitzenkamp 9, 24149 Kiel
10.10462 54.29693 45 6 6 Hamburger Chaussee 212, 24113 Kiel
10.16367 54.29087 45 9 9 Segeberger Landstr. 85, 24145 Kiel
10.16789 54.31533 46 8 8 Ostring 299, 24148 Kiel
10.12655 54.32949 46 3 3 Goethestr. 16, 24116 Kiel
